Bhagalpur,Bihar,"""Rice|Wheat|Maize|Banana|Mango|Guava|Amla|Jamun|Spinach|Medicinal Plants|Flowers"""
Banka,Bihar,"""Rice|Wheat|Pulses|Guava|Amla|Jamun|Spinach|Medicinal Plants|Flowers"""
Agra,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Maize|Potato|Onion|Tomato|Guava|Mango|Sunflower|Sorghum|Medicinal Plants|Amla|Flowers"""
Aligarh,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Mango|Guava|Sunflower|Spinach|Medicinal Plants|Flowers"""
Prayagraj,Uttar Pradesh,"""Wheat|Rice|Maize|Gram|Lentil|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Medicinal Plants|Flowers"""
Ambedkar Nagar,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Potato|Onion|Spinach|Flowers|Medicinal Plants"""
Amethi,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Onion|Spinach|Flowers|Medicinal Plants"""
Amroha,Uttar Pradesh,"""Wheat|Mustard|Bajra|Sugarcane|Mango|Guava|Sunflower|Medicinal Plants|Flowers"""
Auraiya,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Oilseeds|Vegetables|Spinach|Medicinal Plants|Flowers"""
Azamgarh,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Spinach|Medicinal Plants|Flowers"""
Baghpat,Uttar Pradesh,"""Wheat|Sugarcane|Potato|Onion|Tomato|Medicinal Plants|Flowers"""
Bahraich,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Oilseeds|Potato|Onion|Medicinal Plants|Flowers"""
Ballia,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Potato|Tomato|Onion|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Balrampur,Uttar Pradesh,"""Rice|Wheat|Maize|Sugarcane|Pulses|Potato|Onion|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Banda,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Barabanki,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Potato|Onion|Medicinal Plants|Flowers"""
Bareilly,Uttar Pradesh,"""Wheat|Rice|Maize|Sugarcane|Pulses|Oilseeds|Potato|Onion|Tomato|Mango|Guava|Sorghum|Bajra|Spinach|Beans|Medicinal Plants|Flowers"""
Basti,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Potato|Onion|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Bhadohi,Uttar Pradesh,"""Rice|Wheat|Pulses|Potato|Onion|Tomato|Medicinal Plants|Flowers"""
Bijnor,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Potato|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Budaun,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Potato|Onion|Tomato|Medicinal Plants|Flowers"""
Bulandshahr,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Potato|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Chandauli,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Potato|Onion|Tomato|Mango|Medicinal Plants|Flowers"""
Chitrakoot,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Deoria,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Etah,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Guava|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Etawah,Uttar Pradesh,"""Wheat|Mustard|Bajra|Pulses|Potato|Onion|Tomato|Guava|Mango|Sunflower|Sorghum|Medicinal Plants|Amla|Flowers"""
Farrukhabad,Uttar Pradesh,"""Wheat|Rice|Potato|Pulses|Oilseeds|Vegetables|Guava|Mango|Sunflower|Medicinal Plants|Flowers"""
Fatehpur,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Onion|Tomato|Mango|Guava|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Firozabad,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Guava|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Gautam Buddha Nagar,Uttar Pradesh,"""Wheat|Mustard|Potato|Onion|Tomato|Guava|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Ghaziabad,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Potato|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Ghazipur,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Gonda,Uttar Pradesh,"""Rice|Wheat|Maize|Sugarcane|Pulses|Potato|Onion|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Gorakhpur,Uttar Pradesh,"""Rice|Wheat|Maize|Sugarcane|Pulses|Potato|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Hamirpur,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Hapur,Uttar Pradesh,"""Wheat|Sugarcane|Potato|Onion|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Hardoi,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Oilseeds|Potato|Onion|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Hathras,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Guava|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Jalaun,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Jaunpur,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Spinach|Medicinal Plants|Flowers"""
Jhansi,Uttar Pradesh,"""Wheat|Mustard|Bajra|Pulses|Barley|Potato|Onion|Guava|Mango|Sunflower|Sorghum|Medicinal Plants|Flowers|Jamun"""
Kanpur Dehat,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Oilseeds|Potato|Onion|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Kanpur Nagar,Uttar Pradesh,"""Wheat|Rice|Maize|Gram|Lentil|Potato|Tomato|Onion|Mango|Guava|Sorghum|Bajra|Sunflower|Spinach|Beans|Medicinal Plants"""
Kanshiram Nagar (Kasganj),Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Mango|Guava|Sunflower|Spinach|Medicinal Plants|Flowers"""
Kaushambi,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Onion|Tomato|Guava|Mango|Medicinal Plants|Flowers"""
Kushinagar,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Lakhimpur Kheri,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Pulses|Potato|Tomato|Onion|Mango|Guava|Jamun|Amla|Medicinal Plants|Flowers|Spinach"""
Lalitpur,Uttar Pradesh,"""Wheat|Mustard|Bajra|Pulses|Barley|Potato|Onion|Guava|Mango|Sunflower|Sorghum|Medicinal Plants|Flowers|Jamun"""
Lucknow,Uttar Pradesh,"""Rice|Wheat|Maize|Gram|Lentil|Potato|Onion|Tomato|Mango|Guava|Sunflower|Bajra|Ragi|Spinach|Fenugreek|Flowers|Amla|Lemon"""
Maharajganj,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Mahoba,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Mainpuri,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Guava|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Mathura,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Pulses|Potato|Tomato|Onion|Guava|Mango|Sunflower|Sorghum|Medicinal Plants|Amla|Flowers"""
Mau,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Meerut,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Potato|Tomato|Onion|Mango|Guava|Citrus|Sunflower|Bajra|Jamun|Spinach|Flowers|Amla"""
Mirzapur,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Moradabad,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Sugarcane|Mango|Guava|Sunflower|Medicinal Plants|Flowers"""
Muzaffarnagar,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Potato|Onion|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Pilibhit,Uttar Pradesh,"""Wheat|Rice|Maize|Sugarcane|Pulses|Potato|Onion|Medicinal Plants|Flowers"""
Raebareli,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Onion|Tomato|Guava|Mango|Medicinal Plants|Flowers"""
Rampur,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Guava|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Saharanpur,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Potato|Onion|Tomato|Mango|Citrus|Guava|Sunflower|Bajra|Spinach|Flowers|Jamun|Amla"""
Sambhal,Uttar Pradesh,"""Wheat|Mustard|Bajra|Barley|Potato|Onion|Guava|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Sant Kabir Nagar,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,"""Rice|Wheat|Pulses|Potato|Onion|Tomato|Medicinal Plants|Flowers"""
Shahjahanpur,Uttar Pradesh,"""Wheat|Rice|Maize|Sugarcane|Pulses|Potato|Onion|Tomato|Mango|Guava|Sorghum|Bajra|Spinach|Beans|Medicinal Plants|Flowers"""
Shamli,Uttar Pradesh,"""Wheat|Sugarcane|Rice|Maize|Potato|Tomato|Onion|Mango|Guava|Medicinal Plants|Flowers"""
Shravasti,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Potato|Onion|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Siddharthnagar,Uttar Pradesh,"""Rice|Wheat|Maize|Pulses|Onion|Tomato|Mango|Banana|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Sitapur,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Oilseeds|Potato|Onion|Tomato|Mango|Guava|Jamun|Amla|Spinach|Medicinal Plants|Flowers"""
Sonbhadra,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Tomato|Onion|Guava|Mango|Sorghum|Bajra|Sunflower|Jamun|Medicinal Plants"""
Sultanpur,Uttar Pradesh,"""Wheat|Rice|Pulses|Oilseeds|Potato|Onion|Tomato|Guava|Mango|Medicinal Plants|Flowers"""
Unnao,Uttar Pradesh,"""Wheat|Rice|Maize|Pulses|Oilseeds|Potato|Onion|Tomato|Mango|Guava|Medicinal Plants|Flowers"""
Varanasi,Uttar Pradesh,"""Rice|Wheat|Maize|Gram|Lentil|Pea|Tomato|Onion|Cauliflower|Mango|Guava|Banana|Sunflower|Bajra|Amla|Jamun|Spinach|Flowers"""
Ambala,Haryana,"""Wheat|Rice|Maize|Sugarcane|Potato|Onion|Tomato|Guava|Mango|Citrus|Sunflower|Bajra|Spinach|Amla|Jamun|Medicinal Plants"""
Bhiwani,Haryana,"""Wheat|Bajra|Mustard|Barley|Pulses|Cotton|Sunflower|Sorghum|Groundnut|Spinach|Medicinal Plants"""
Charkhi Dadri,Haryana,"""Wheat|Bajra|Mustard|Barley|Cotton|Sunflower|Sorghum|Groundnut|Spinach|Medicinal Plants"""
Faridabad,Haryana,"""Wheat|Rice|Potato|Onion|Tomato|Guava|Mango|Sunflower|Bajra|Spinach|Medicinal Plants|Flowers"""
Fatehabad,Haryana,"""Wheat|Cotton|Bajra|Mustard|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Gurugram,Haryana,"""Wheat|Mustard|Bajra|Potato|Onion|Guava|Mango|Sunflower|Medicinal Plants|Flowers"""
Hisar,Haryana,"""Wheat|Bajra|Mustard|Cotton|Barley|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Jhajjar,Haryana,"""Wheat|Bajra|Mustard|Barley|Pulses|Sunflower|Sorghum|Medicinal Plants|Flowers"""
Jind,Haryana,"""Wheat|Bajra|Mustard|Cotton|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Kaithal,Haryana,"""Wheat|Rice|Maize|Sugarcane|Vegetables|Sunflower|Spinach|Medicinal Plants|Flowers"""
Karnal,Haryana,"""Wheat|Rice|Maize|Sugarcane|Potato|Onion|Tomato|Citrus|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Kurukshetra,Haryana,"""Wheat|Rice|Maize|Sugarcane|Potato|Onion|Sunflower|Spinach|Medicinal Plants|Flowers"""
Mahendragarh,Haryana,"""Wheat|Bajra|Mustard|Barley|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Nuh (Mewat),Haryana,"""Wheat|Bajra|Mustard|Barley|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Palwal,Haryana,"""Wheat|Rice|Bajra|Potato|Onion|Sunflower|Spinach|Medicinal Plants|Flowers"""
Panchkula,Haryana,"""Wheat|Rice|Maize|Potato|Tomato|Onion|Citrus|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Panipat,Haryana,"""Wheat|Rice|Sugarcane|Potato|Onion|Tomato|Sunflower|Spinach|Medicinal Plants|Flowers"""
Rewari,Haryana,"""Wheat|Bajra|Mustard|Barley|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Rohtak,Haryana,"""Wheat|Rice|Bajra|Sugarcane|Vegetables|Sunflower|Spinach|Medicinal Plants|Flowers"""
Sirsa,Haryana,"""Wheat|Cotton|Bajra|Mustard|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Sonipat,Haryana,"""Wheat|Rice|Sugarcane|Potato|Onion|Tomato|Sunflower|Spinach|Medicinal Plants|Flowers"""
Yamunanagar,Haryana,"""Wheat|Rice|Sugarcane|Maize|Potato|Tomato|Onion|Citrus|Mango|Sunflower|Spinach|Medicinal Plants|Flowers"""
Ahmedabad,Gujarat,"""Wheat|Cotton|Bajra|Groundnut|Rice|Pulses|Sunflower|Castor|Medicinal Plants|Spinach|Flowers"""
Amreli,Gujarat,"""Cotton|Groundnut|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants|Flowers"""
Anand,Gujarat,"""Wheat|Tobacco|Cotton|Bajra|Rice|Vegetables|Groundnut|Sesame|Sunflower|Spinach|Medicinal Plants"""
Aravalli,Gujarat,"""Wheat|Maize|Bajra|Rice|Pulses|Cotton|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Banaskantha,Gujarat,"""Wheat|Cotton|Bajra|Groundnut|Cumin|Isabgol|Sesame|Sunflower|Medicinal Herbs|Flowers"""
Bharuch,Gujarat,"""Wheat|Cotton|Rice|Bajra|Pulses|Banana|Sunflower|Castor|Medicinal Plants|Citrus Fruits|Flowers"""
Bhavnagar,Gujarat,"""Cotton|Groundnut|Wheat|Bajra|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Botad,Gujarat,"""Cotton|Groundnut|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Chhota Udaipur,Gujarat,"""Maize|Rice|Wheat|Pulses|Cotton|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Dahod,Gujarat,"""Maize|Rice|Wheat|Pulses|Cotton|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Devbhumi Dwarka,Gujarat,"""Groundnut|Cotton|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Gandhinagar,Gujarat,"""Wheat|Cotton|Bajra|Groundnut|Rice|Vegetables|Sunflower|Castor|Medicinal Plants|Flowers"""
Jamnagar,Gujarat,"""Groundnut|Cotton|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Junagadh,Gujarat,"""Groundnut|Cotton|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Kheda,Gujarat,"""Wheat|Tobacco|Cotton|Bajra|Rice|Vegetables|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Kutch,Gujarat,"""Bajra|Groundnut|Cotton|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Mahisagar,Gujarat,"""Wheat|Maize|Bajra|Rice|Pulses|Cotton|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Mehsana,Gujarat,"""Wheat|Bajra|Cotton|Groundnut|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Morbi,Gujarat,"""Groundnut|Cotton|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Narmada,Gujarat,"""Wheat|Rice|Maize|Cotton|Pulses|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Navsari,Gujarat,"""Rice|Sugarcane|Wheat|Pulses|Banana|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Panchmahal,Gujarat,"""Maize|Wheat|Rice|Pulses|Cotton|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Patan,Gujarat,"""Wheat|Bajra|Cotton|Groundnut|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Porbandar,Gujarat,"""Groundnut|Cotton|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Rajkot,Gujarat,"""Groundnut|Cotton|Bajra|Wheat|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Sabarkantha,Gujarat,"""Wheat|Maize|Bajra|Rice|Pulses|Cotton|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Surat,Gujarat,"""Rice|Sugarcane|Wheat|Pulses|Vegetables|Banana|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Surendranagar,Gujarat,"""Wheat|Cotton|Bajra|Groundnut|Pulses|Castor|Sesame|Sunflower|Medicinal Plants"""
Tapi,Gujarat,"""Rice|Maize|Wheat|Pulses|Cotton|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Vadodara,Gujarat,"""Wheat|Rice|Cotton|Bajra|Pulses|Vegetables|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Valsad,Gujarat,"""Rice|Sugarcane|Wheat|Pulses|Banana|Groundnut|Sesame|Sunflower|Medicinal Plants"""
Ajmer,Rajasthan,"""Wheat|Barley|Pulses|Mustard|Bajra|Maize|Sorghum|Sunflower|Groundnut|Spinach|Medicinal Plants|Flowers"""
Alwar,Rajasthan,"""Wheat|Bajra|Mustard|Pulses|Barley|Sorghum|Groundnut|Sunflower|Spinach|Medicinal Herbs|Flowers"""
Banswara,Rajasthan,"""Maize|Wheat|Pulses|Rice|Soybean|Sugarcane|Groundnut|Sunflower|Sorghum|Spinach|Medicinal Plants|Fruits Guava Mango"""
Baran,Rajasthan,"""Wheat|Soybean|Maize|Pulses|Rice|Sunflower|Sorghum|Groundnut|Spinach|Medicinal Plants|Citrus Fruits"""
Barmer,Rajasthan,"""Bajra|Pulses Moong Moth|Oilseeds|Wheat|Guar|Castor|Sunflower|Medicinal Plants|Flowers"""
Bharatpur,Rajasthan,"""Wheat|Mustard|Bajra|Pulses|Sugarcane|Sunflower|Groundnut|Spinach|Medicinal Plants|Flowers"""
Bhilwara,Rajasthan,"""Wheat|Maize|Barley|Pulses|Mustard|Sunflower|Sorghum|Groundnut|Spinach|Medicinal Plants"""
Bikaner,Rajasthan,"""Bajra|Guar|Mustard|Wheat|Pulses Moong Moth|Sunflower|Castor|Medicinal Plants|Spinach|Flowers"""
Bundi,Rajasthan,"""Wheat|Maize|Pulses|Mustard|Soybean|Sunflower|Groundnut|Sorghum|Medicinal Plants|Citrus Fruits"""
Chittorgarh,Rajasthan,"""Wheat|Maize|Pulses|Mustard|Soybean|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Churu,Rajasthan,"""Bajra|Guar|Mustard|Barley|Wheat|Castor|Sunflower|Medicinal Plants|Flowers"""
Dausa,Rajasthan,"""Wheat|Bajra|Mustard|Pulses|Barley|Sunflower|Sorghum|Groundnut|Medicinal Plants"""
Dholpur,Rajasthan,"""Wheat|Mustard|Bajra|Pulses|Sugarcane|Sunflower|Spinach|Medicinal Plants|Flowers"""
Dungarpur,Rajasthan,"""Maize|Wheat|Pulses|Soybean|Sugarcane|Groundnut|Sunflower|Spinach|Medicinal Plants|Fruits Guava Mango"""
Hanumangarh,Rajasthan,"""Wheat|Cotton|Mustard|Bajra|Pulses|Sunflower|Groundnut|Medicinal Plants|Flowers"""
Jaipur,Rajasthan,"""Wheat|Bajra|Mustard|Barley|Pulses|Sunflower|Sorghum|Groundnut|Medicinal Plants|Flowers"""
Jaisalmer,Rajasthan,"""Bajra|Moong|Moth|Guar|Mustard|Castor|Medicinal Plants|Flowers"""
Jalore,Rajasthan,"""Bajra|Wheat|Mustard|Pulses Moong Moth|Guar|Castor|Sunflower|Medicinal Plants|Flowers"""
Jhalawar,Rajasthan,"""Wheat|Soybean|Maize|Pulses|Mustard|Sunflower|Groundnut|Medicinal Plants|Citrus Fruits"""
Jhunjhunu,Rajasthan,"""Wheat|Bajra|Mustard|Barley|Pulses|Sunflower|Medicinal Plants|Flowers"""
Jodhpur,Rajasthan,"""Bajra|Moong|Moth|Guar|Mustard|Castor|Medicinal Plants|Flowers"""
Karauli,Rajasthan,"""Wheat|Bajra|Mustard|Pulses|Sugarcane|Sunflower|Medicinal Plants|Flowers"""
Kota,Rajasthan,"""Wheat|Soybean|Maize|Pulses|Rice|Sunflower|Groundnut|Medicinal Plants|Citrus Fruits"""
Nagaur,Rajasthan,"""Wheat|Bajra|Mustard|Barley|Pulses|Castor|Sunflower|Medicinal Plants|Flowers"""
Pali,Rajasthan,"""Wheat|Bajra|Mustard|Pulses Moong Moth|Barley|Castor|Medicinal Plants|Flowers"""
Rajsamand,Rajasthan,"""Wheat|Maize|Pulses|Mustard|Soybean|Sunflower|Sorghum|Medicinal Plants|Citrus Fruits"""
Sawai Madhopur,Rajasthan,"""Wheat|Bajra|Mustard|Pulses|Sugarcane|Sunflower|Medicinal Plants|Flowers"""
